시도,지역구분,세부차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
충북,옥천군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
충북,옥천군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
충북,옥천군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
충북,옥천군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,126,480
충북,증평군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
충북,증평군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
충북,증평군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
충북,증평군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
충북,증평군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
충북,증평군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,354,708
충북,진천군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
충북,진천군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
충북,진천군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
충북,진천군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
충북,진천군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
충북,진천군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,354,708
충북,괴산군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
충북,괴산군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
충북,괴산군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
충북,괴산군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
충북,괴산군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
충북,괴산군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,354,708
충북,단양군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
충북,단양군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
충북,단양군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
충북,단양군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
충북,단양군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
충북,단양군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
전남,순천시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,228,555
전남,순천시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,218,530
전남,순천시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,247,601
전남,순천시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,240,584
전남,순천시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,252,613
전남,순천시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,247,601
전남,나주시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
전남,나주시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
전남,나주시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
전남,나주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
전남,나주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
전남,나주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
전남,광양시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,261,588
전남,광양시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,249,561
전남,광양시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,283,637
전남,광양시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,275,619
전남,광양시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,288,649
전남,광양시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,283,637
전남,곡성군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
전남,곡성군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
전남,곡성군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
전남,곡성군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
전남,곡성군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
전남,곡성군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,354,708
전남,구례군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,422,749
전남,구례군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,403,715
전남,구례군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,457,811
전남,구례군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,444,788
전남,구례군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,466,827
전남,구례군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,457,811
전남,보성군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
전남,보성군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
전남,보성군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
전남,보성군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
전남,보성군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
전남,보성군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
전남,해남군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,477,804
전남,해남군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,462,774
전남,해남군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,504,858
전남,해남군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,494,838
전남,해남군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,511,872
전남,해남군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,504,858
전남,함평군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,381,708
전남,함평군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,364,676
전남,함평군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,413,767
전남,함평군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,401,745
전남,함평군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,421,782
전남,함평군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,413,767
전남,영광군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
전남,영광군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
전남,영광군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
전남,영광군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
전남,영광군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
전남,영광군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
전남,완도군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
전남,완도군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
전남,완도군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
전남,완도군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
전남,완도군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
전남,완도군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
전남,신안군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
전남,신안군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
전남,신안군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
전남,신안군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
전남,신안군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
전남,신안군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경북,경주시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,500,827
경북,경주시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,500,812
경북,경주시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,500,854
경북,경주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,500,844
경북,경주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,500,861
경북,경주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,500,854
경북,김천시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경북,김천시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경북,김천시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경북,김천시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경북,김천시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경북,김천시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경북,안동시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,500,827
경북,안동시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,500,812
경북,안동시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,500,854
경북,안동시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,500,844
경북,안동시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,500,861
경북,안동시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,500,854
경북,구미시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경북,구미시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경북,구미시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경북,구미시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경북,구미시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경북,구미시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경북,영주시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,500,827
경북,영주시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,500,812
